Time,accX1,accY1,accZ1,accX2,accY2,accZ2,wX1,wY1,wZ1,wX2,wY2,wZ2
15.19002,-0.893479167,0.150062751,-0.247132913,-0.115686289,-0.835938344,0.556158063,-0.304566622,-0.314159274,0.432468593,-2.502441406,-1.831054688,-2.807617188
15.20002,-0.877615509,0.138592059,-0.234441948,-0.115808359,-0.83435143,0.557622906,-0.34799999,-0.36984992,0.601672292,-2.075195313,-1.953125,-2.9296875
15.21002,-0.880788202,0.135419312,-0.236150347,-0.114831797,-0.833985219,0.557256695,-0.316290945,-0.417813152,0.543583453,-3.234863281,-2.014160156,-3.112792969
15.22002,-0.894211386,0.145181599,-0.249085369,-0.115198008,-0.838623891,0.557256695,-0.270459414,-0.483362943,0.670419574,-5.554199219,-1.708984375,-3.173828125
15.23002,-0.898360307,0.14689001,-0.246644799,-0.1160525,-0.841309438,0.549688336,-0.187323123,-0.501215935,0.705592692,-6.042480469,-1.342773438,-3.234863281
15.24002,-0.896895965,0.153235493,-0.239567145,-0.116662852,-0.840210805,0.548467633,-0.038104136,-0.505745769,0.468973964,-2.868652344,-1.647949219,-3.051757813
15.250021,-0.898848421,0.171295724,-0.23102515,-0.1160525,-0.838623891,0.552618023,0.13243185,-0.473503798,0.173733547,0.671386719,-2.197265625,-2.807617188
15.26002,-0.894211386,0.173736307,-0.222727187,-0.115320078,-0.836182484,0.552007672,0.23528637,-0.412750393,0.04103522,1.403808594,-2.197265625,-2.746582031
15.27002,-0.886401562,0.169831382,-0.214917362,-0.11593043,-0.83837975,0.55115318,0.236085743,-0.360523731,-0.031975497,1.159667969,-2.014160156,-2.746582031
15.280023,-0.887133684,0.159580987,-0.210768393,-0.115442148,-0.840821156,0.549810406,0.208107188,-0.33867383,-0.106052071,1.403808594,-1.892089844,-2.746582031
15.290021,-0.898116299,0.1434732,-0.21101245,-0.115198008,-0.839234242,0.550176617,0.211038291,-0.312826961,-0.328548223,2.685546875,-2.075195313,-2.624511719
15.300021,-0.915688404,0.145181599,-0.211500564,-0.11593043,-0.837769398,0.551885602,0.265130162,-0.267794788,-0.651234269,3.41796875,-2.319335938,-2.624511719
15.310021,-0.916908641,0.109061129,-0.217113875,-0.115320078,-0.837036977,0.553228375,0.363454819,-0.231289431,-0.964594126,2.624511719,-2.258300781,-2.685546875
15.320023,-0.891770816,0.073916885,-0.209059993,-0.11617457,-0.838868031,0.552251813,0.520134747,-0.147620216,-1.478866816,1.647949219,-2.075195313,-2.746582031
15.33002,-0.878591737,0.0778218,-0.203446658,-0.11617457,-0.839966664,0.549444195,0.667488515,-0.132165387,-1.834594131,2.44140625,-2.014160156,-2.685546875
15.340021,-0.885425334,0.078309914,-0.208327822,-0.115198008,-0.837647328,0.552618023,0.684808552,-0.181993872,-1.633148551,4.39453125,-2.136230469,-2.44140625
15.35002,-0.892014824,0.082702947,-0.198809574,-0.115686289,-0.837525258,0.553716656,0.550245047,-0.240082696,-1.081837654,5.798339844,-2.136230469,-2.502441406
15.36002,-0.899580641,0.071964426,-0.192952206,-0.11617457,-0.836060414,0.556035992,0.386370599,-0.313892812,-0.568364441,6.469726563,-2.380371094,-2.44140625
15.370023,-0.920569544,0.058541278,-0.197833346,-0.116784922,-0.833985219,0.558721539,0.274189889,-0.362122506,-0.262731999,5.065917969,-2.380371094,-2.563476563
